"Rank","Player","Position","Position Rank","ADP on February 23","ADP on March  4","ADP Change"
1,"Bijan Robinson","RB","RB1",1.1,1.4,0.3
2,"Jahmyr Gibbs","RB","RB2",2.8,1.9,-0.9
3,"Puka Nacua","WR","WR1",2.8,3.2,0.4
4,"Ja'Marr Chase","WR","WR2",3.6,3.7,0.1
5,"Jaxon Smith-Njigba","WR","WR3",5.2,5.2,0
6,"Jonathan Taylor","RB","RB3",6.6,6.5,-0.1
7,"Christian McCaffrey","RB","RB4",7.4,7.3,-0.1
8,"CeeDee Lamb","WR","WR4",8.3,8.4,0.1
9,"Amon-Ra St. Brown","WR","WR5",8.9,8.8,-0.1
10,"James Cook","RB","RB5",10.6,10.5,-0.1
11,"De'Von Achane","RB","RB6",11.4,11.3,-0.1
12,"Ashton Jeanty","RB","RB7",11.7,12.1,0.4
13,"Justin Jefferson","WR","WR6",13.8,13.2,-0.6
14,"Omarion Hampton","RB","RB8",15.3,15,-0.3
15,"Jeremiyah Love","RB","RB9",18.5,15.9,-2.6
16,"Trey McBride","TE","TE1",15.7,16.7,1
17,"Saquon Barkley","RB","RB10",17.5,17.2,-0.3
18,"Malik Nabers","WR","WR7",16.3,17.6,1.3
19,"Drake London","WR","WR8",17.1,18.1,1
20,"Derrick Henry","RB","RB11",21.3,20.5,-0.8
21,"Brock Bowers","TE","TE2",20.6,21,0.4
22,"Chase Brown","RB","RB12",22,22.2,0.2
23,"George Pickens","WR","WR9",22.8,23,0.2
24,"Nico Collins","WR","WR10",23.3,23.2,-0.1
25,"Chris Olave","WR","WR11",26.2,26.4,0.2
26,"Josh Jacobs","RB","RB13",27.4,27.1,-0.3
27,"Bucky Irving","RB","RB14",27.9,27.5,-0.4
28,"Kenneth Walker III","RB","RB15",30.5,29.4,-1.1
29,"Breece Hall","RB","RB16",29.3,30,0.7
30,"A.J. Brown","WR","WR12",32.3,30.5,-1.8
31,"Josh Allen","QB","QB1",30.5,30.7,0.2
32,"Tetairoa McMillan","WR","WR12",31.4,30.8,-0.6
33,"Rashee Rice","WR","WR14",30.5,32.7,2.2
34,"Tee Higgins","WR","WR15",33.2,33.5,0.3
35,"Kyren Williams","RB","RB17",33.9,33.7,-0.2
36,"Travis Etienne Jr.","RB","RB18",36.6,36.5,-0.1
37,"Ladd McConkey","WR","WR16",36.3,37,0.7
38,"Garrett Wilson","WR","WR17",38.4,38.3,-0.1
39,"Jameson Williams","WR","WR18",40.4,40.7,0.3
40,"Zay Flowers","WR","WR19",41.5,41,-0.5
41,"Davante Adams","WR","WR20",42,42.1,0.1
42,"DeVonta Smith","WR","WR21",44,43.1,-0.9
43,"Javonte Williams","RB","RB19",50.3,43.3,-7
44,"Colston Loveland","TE","TE3",43.3,44.2,0.9
45,"Emeka Egbuka","WR","WR22",45.2,44.8,-0.4
46,"Terry McLaurin","WR","WR23",46.8,46,-0.8
47,"TreVeyon Henderson","RB","RB21",46.9,47.5,0.6
48,"Cam Skattebo","RB","RB20",44.5,48.1,3.6
49,"Lamar Jackson","QB","QB2",47.8,48.7,0.9
50,"Luther Burden","WR","WR24",48.7,48.9,0.2
51,"Jaylen Waddle","WR","WR25",51.4,51,-0.4
52,"RJ Harvey","RB","RB22",50.9,52.4,1.5
53,"Quinshon Judkins","RB","RB23",54.7,53.2,-1.5
54,"Carnell Tate","WR","WR26",53.8,53.7,-0.1
55,"Christian Watson","WR","WR27",56.2,56.3,0.1
56,"Rome Odunze","WR","WR28",57.8,56.9,-0.9
57,"Makai Lemon","WR","WR29",57.6,58.5,0.9
58,"D'Andre Swift","RB","RB24",58.7,58.9,0.2
59,"Brian Thomas","WR","WR30",60.5,59.5,-1
60,"Jayden Daniels","QB","QB3",62.3,61.5,-0.8
61,"Jordyn Tyson","WR","WR31",59.4,61.7,2.3
62,"Courtland Sutton","WR","WR32",62.7,62.6,-0.1
63,"Marvin Harrison","WR","WR33",64.5,63.5,-1
64,"Joe Burrow","QB","QB4",64.2,64,-0.2
65,"Mike Evans","WR","WR34",66.2,64.4,-1.8
66,"Drake Maye","QB","QB5",62.8,66.9,4.1
67,"DK Metcalf","WR","WR35",67.5,67.1,-0.4
68,"Caleb Williams","QB","QB6",67.4,68.3,0.9
69,"Tyler Warren","TE","TE4",68.2,69.3,1.1
70,"Jalen Hurts","QB","QB7",68.9,69.5,0.6
71,"Jaylen Warren","RB","RB25",72.2,71.6,-0.6
72,"Parker Washington","WR","WR36",73.4,71.6,-1.8
73,"Rhamondre Stevenson","RB","RB26",72.9,75.1,2.2
74,"Michael Wilson","WR","WR38",74.6,75.4,0.8
75,"Ricky Pearsall","WR","WR37",76,75.4,-0.6
76,"Harold Fannin","TE","TE5",74.9,75.5,0.6
77,"Bhayshul Tuten","RB","RB27",76.4,75.9,-0.5
78,"Alec Pierce","WR","WR39",78.8,79.4,0.6
79,"Justin Herbert","QB","QB8",79.3,80.3,1
80,"Jaxson Dart","QB","QB9",80.1,81.4,1.3
81,"Dak Prescott","QB","QB10",82.8,81.9,-0.9
82,"David Montgomery","RB","RB31",107.9,82.4,-25.5
83,"Trevor Lawrence","QB","QB11",81.9,82.9,1
84,"Tucker Kraft","TE","TE6",82.5,83.7,1.2
85,"Jakobi Meyers","WR","WR40",84.4,85.4,1
86,"Kyle Monangai","RB","RB28",85.5,86.2,0.7
87,"Patrick Mahomes","QB","QB12",87.5,87.4,-0.1
88,"Quentin Johnston","WR","WR41",86.3,88.2,1.9
89,"Chuba Hubbard","RB","RB30",91.8,90,-1.8
90,"Kyle Pitts","TE","TE7",89.4,90.1,0.7
91,"Tony Pollard","RB","RB29",88.7,90.2,1.5
92,"Michael Pittman Jr.","WR","WR42",92.8,92.4,-0.4
93,"D.J. Moore","WR","WR43",95.2,93.6,-1.6
94,"Sam LaPorta","TE","TE8",92.4,94.1,1.7
95,"Jadarian Price","RB","RB32",98.2,96.8,-1.4
96,"Blake Corum","RB","RB33",95,97,2
97,"Tyler Allgeier","RB","RB34",100.4,97.5,-2.9
98,"Brock Purdy","QB","QB13",97.5,97.6,0.1
99,"Stefon Diggs","WR","WR44",91.4,97.8,6.4
100,"Matthew Stafford","QB","QB14",98.3,99.6,1.3
101,"Jordan Addison","WR","WR46",100.2,100.1,-0.1
102,"Xavier Worthy","WR","WR45",97,100.2,3.2
103,"Rico Dowdle","RB","RB35",102.3,102.3,0
104,"Bo Nix","QB","QB15",102.7,102.4,-0.3
105,"Jared Goff","QB","QB16",103.6,104.3,0.7
106,"Oronde Gadsden","TE","TE9",104.6,105.4,0.8
107,"Jordan Love","QB","QB17",107,106.9,-0.1
108,"Baker Mayfield","QB","QB18",110.3,109.9,-0.4
109,"Dalton Kincaid","TE","TE10",109.3,110.5,1.2
110,"Denzel Boston","WR","WR47",106.9,110.6,3.7
111,"Wan'Dale Robinson","WR","WR48",110.2,110.8,0.6
112,"Jauan Jennings","WR","WR49",112.3,112.5,0.2
113,"Chris Godwin","WR","WR50",114.2,113.2,-1
114,"Jayden Reed","WR","WR51",113.3,113.7,0.4
115,"Jonah Coleman","RB","RB36",116.7,115.8,-0.9
116,"Khalil Shakir","WR","WR52",115.9,117,1.1
117,"Tyler Shough","QB","QB19",118.1,117.8,-0.3
118,"Jalen Coker","WR","WR53",118.1,118.3,0.2
119,"George Kittle","TE","TE11",118.9,120.4,1.5
120,"Matthew Golden","WR","WR54",123,122.1,-0.9
121,"KC Concepcion","WR","WR55",126,122.9,-3.1
122,"Jacory Croskey-Merritt","RB","RB37",122.7,124.1,1.4
123,"Kenneth Gainwell","RB","RB39",126.8,125,-1.8
124,"Sam Darnold","QB","QB20",123.7,125.3,1.6
125,"Jayden Higgins","WR","WR56",124.8,125.6,0.8
126,"Jake Ferguson","TE","TE12",126,127.2,1.2
127,"Kenyon Sadiq","TE","TE13",146.7,129,-17.7
128,"Malik Willis","QB","QB21",141.2,129.8,-11.4
129,"Deebo Samuel","WR","WR57",128.7,130.3,1.6
130,"Woody Marks","RB","RB38",121.2,131.2,10
131,"Tyrone Tracy","RB","RB40",130.4,133.3,2.9
132,"Trey Benson","RB","RB41",137,133.7,-3.3
133,"Jordan Mason","RB","RB44",147.2,134.5,-12.7
134,"Fernando Mendoza","QB","QB22",133.6,135.5,1.9
135,"J.K. Dobbins","RB","RB42",134.7,135.9,1.2
136,"Kyler Murray","QB","QB24",141,136.3,-4.7
137,"Dallas Goedert","TE","TE14",131.5,136.5,5
138,"Romeo Doubs","WR","WR58",137.9,137,-0.9
139,"C.J. Stroud","QB","QB23",134.9,137.3,2.4
140,"Brenton Strange","TE","TE15",133.6,138.6,5
141,"Emmett Johnson","RB","RB43",128,138.6,10.6
142,"Rashid Shaheed","WR","WR59",140.6,141,0.4
143,"Bryce Young","QB","QB25",138.3,142.2,3.9
144,"James Conner","RB","RB45",140.7,145.4,4.7
145,"Brandon Aiyuk","WR","WR60",142.6,145.7,3.1
146,"Cam Ward","QB","QB26",143.8,146.2,2.4
147,"Juwan Johnson","TE","TE16",146,147,1
148,"Travis Hunter","WR","WR61",149.9,148.3,-1.6
149,"Alvin Kamara","RB","RB46",148.7,149.3,0.6
150,"Tyreek Hill","WR","WR61",145.6,149.3,3.7
151,"Josh Downs","WR","WR63",152.9,151.7,-1.2
152,"Mark Andrews","TE","TE17",151.6,151.7,0.1
153,"Daniel Jones","QB","QB27",155.4,154.1,-1.3
154,"Jalen McMillan","WR","WR64",156.9,154.8,-2.1
155,"Rachaad White","RB","RB47",163.6,155.6,-8
156,"Hunter Henry","TE","TE18",154.4,157.4,3
157,"Kayshon Boutte","WR","WR65",151.2,158.9,7.7
158,"Tyjae Spears","RB","RB48",158.2,159.6,1.4
159,"Pat Bryant","WR","WR66",156.8,159.9,3.1
160,"Zach Charbonnet","RB","RB49",157.7,160.4,2.7
161,"Mike Washington Jr.","RB","RB52",216.8,160.6,-56.2
162,"Jerry Jeudy","WR","WR67",159.9,161,1.1
163,"Jonathon Brooks","RB","RB50",164.1,161.4,-2.7
164,"Travis Kelce","TE","TE19",161.8,161.7,-0.1
165,"Omar Cooper Jr.","WR","WR69",184.8,164.3,-20.5
166,"Troy Franklin","WR","WR68",163.8,165.1,1.3
167,"Sean Tucker","RB","RB51",167.1,165.9,-1.2
168,"Aaron Jones","RB","RB53",163,168.7,5.7
169,"AJ Barner","TE","TE20",167.8,168.8,1
170,"Michael Penix","QB","QB28",169.2,171.5,2.3
171,"Calvin Ridley","WR","WR70",172.3,171.7,-0.6
172,"Isaiah Likely","TE","TE21",173.5,172,-1.5
173,"Braelon Allen","RB","RB54",162.2,173.4,11.2
174,"Chimere Dike","WR","WR71",173.2,174.1,0.9
175,"Theo Johnson","TE","TE22",171,174.3,3.3
176,"Tank Dell","WR","WR72",175.1,176,0.9
177,"Kimani Vidal","RB","RB55",176.5,176.6,0.1
178,"David Njoku","TE","TE23",177.6,178.3,0.7
179,"Kaytron Allen","RB","RB56",174.7,178.3,3.6
180,"Tre' Harris","WR","WR73",181.4,179.4,-2
181,"Adonai Mitchell","WR","WR74",179.2,181,1.8
182,"Dylan Sampson","RB","RB57",183.3,183.1,-0.2
183,"Elijah Sarratt","WR","WR75",178.2,183.3,5.1
184,"Terrance Ferguson","TE","TE24",188.8,184.4,-4.4
185,"Isaac TeSlaa","WR","WR76",183.5,185.4,1.9
186,"Tre Tucker","WR","WR77",184.4,185.9,1.5
187,"Dalton Schultz","TE","TE25",186.2,186.7,0.5
188,"Brian Robinson","RB","RB58",187.8,187.5,-0.3
189,"T.J. Hockenson","TE","TE26",187.2,189.6,2.4
190,"Tank Bigsby","RB","RB59",192.3,190.2,-2.1
191,"Jacoby Brissett","QB","QB29",191.1,191.8,0.7
192,"Eli Stowers","TE","TE27",219.8,192.7,-27.1
193,"Tory Horton","WR","WR78",194.3,194,-0.3
194,"Nicholas Singleton","RB","RB60",192.1,194.3,2.2
195,"Zachariah Branch","WR","WR79",197.2,196.7,-0.5
196,"Elic Ayomanor","WR","WR80",195.5,198.4,2.9
197,"Keaton Mitchell","RB","RB62",198.2,198.8,0.6
198,"Joe Mixon","RB","RB61",181.5,199.7,18.2
199,"Gunnar Helm","TE","TE28",199.6,201.4,1.8
200,"Keon Coleman","WR","WR81",201.7,201.5,-0.2
201,"Ray Davis","RB","RB63",206,202.4,-3.6
202,"Colby Parkinson","TE","TE29",200.5,204.3,3.8
203,"J.J. McCarthy","QB","QB30",189,204.6,15.6
204,"Mason Taylor","TE","TE30",203.6,205.8,2.2
205,"Chris Brazzell II","WR","WR82",215.9,207.1,-8.8
206,"Marvin Mims Jr.","WR","WR83",204.9,208.7,3.8
207,"Ja'Kobi Lane","WR","WR85",214.5,210.3,-4.2
208,"Najee Harris","RB","RB65",222.8,210.4,-12.4
209,"Shedeur Sanders","QB","QB31",201.8,211.2,9.4
210,"Ryan Flournoy","WR","WR84",206.9,211.6,4.7
211,"Emanuel Wilson","RB","RB64",204.3,212,7.7
212,"Cade Otton","TE","TE31",211.4,214.1,2.7
213,"Kaleb Johnson","RB","RB66",209.8,214.1,4.3
214,"Aaron Rodgers","QB","QB32",211.8,214.8,3
215,"Demond Claiborne","RB","RB67",226.6,216.2,-10.4
216,"Darnell Mooney","WR","WR86",215.6,218,2.4
217,"Cooper Kupp","WR","WR87",215.2,220,4.8
218,"Kyle Williams","WR","WR88",219.3,220.7,1.4
219,"Brashard Smith","RB","RB68",213.6,221.4,7.8
220,"Germie Bernard","WR","WR90",232.5,222.4,-10.1
221,"Pat Freiermuth","TE","TE33",219.9,222.4,2.5
222,"Malik Washington","WR","WR89",221.3,222.8,1.5
223,"Jake Tonges","TE","TE32",216.8,223.2,6.4
224,"Devin Neal","RB","RB69",227.7,224.3,-3.4
225,"Kirk Cousins","QB","QB33",227.3,226.2,-1.1
226,"Keenan Allen","WR","WR92",228.7,227,-1.7
227,"Devaughn Vele","WR","WR93",223.7,227.8,4.1
228,"Malachi Fields","WR","WR91",224,228.6,4.6
229,"Ty Simpson","QB","QB34",232.2,229.3,-2.9
230,"Jaydon Blue","RB","RB70",223.2,229.6,6.4
231,"Chig Okonkwo","TE","TE34",231,230.4,-0.6
232,"Ollie Gordon","RB","RB71",230,230.9,0.9
233,"Jaylin Noel","WR","WR94",228.5,231.2,2.7
234,"Chris Bell","WR","WR96",234.3,232.2,-2.1
235,"Rashod Bateman","WR","WR95",231.4,232.3,0.9
236,"Jordan James","RB","RB72",233,233.8,0.8
237,"Geno Smith","QB","QB38",237.7,234.7,-3
238,"Ted Hurst","WR","WR97",238.1,234.8,-3.3
239,"Adam Randall","RB","RB74",237.3,234.9,-2.4
240,"Anthony Richardson","QB","QB36",238,235.1,-2.9
241,"Chris Rodriguez","RB","RB73",234.9,235.2,0.3
242,"Tua Tagovailoa","QB","QB37",234.3,235.3,1
243,"Mac Jones","QB","QB35",232.3,235.4,3.1
244,"Isiah Pacheco","RB","RB75",233.6,235.5,1.9
245,"Mike Gesicki","TE","TE35",235.9,235.8,-0.1
246,"Evan Engram","TE","TE36",235.7,236.1,0.4
247,"Jack Bech","WR","WR98",235.8,236.3,0.5
248,"Isaiah Bond","WR","WR99",236.8,237,0.2
249,"Seth McGowan","RB","RB76",239.8,237,-2.8
250,"Tez Johnson","WR","WR100",237.5,237,-0.5
251,"LeQuint Allen","RB","RB76",237.5,237.5,0
252,"Xavier Legette","WR","WR101",237.5,237.5,0
253,"Jalen Nailor","WR","WR104",238.8,237.7,-1.1
254,"Bryce Lance","WR","WR103",240,237.9,-2.1
255,"Christian Kirk","WR","WR101",236.9,238,1.1
256,"Darius Slayton","WR","WR106",238.2,238.1,-0.1
257,"Ben Sinnott","TE","TE37",238,238.2,0.2
258,"Max Klare","TE","TE38",239.4,238.2,-1.2
259,"Skyler Bell","WR","WR108",239.7,238.4,-1.3
260,"Dontayvion Wicks","WR","WR107",238.4,238.5,0.1
261,"Antonio Williams","WR","WR104",239.5,238.6,-0.9
262,"Derek Carr","QB","QB39",239,238.6,-0.4
263,"DJ Giddens","RB","RB78",239,238.7,-0.3
264,"George Holani","RB","RB83",239.6,238.7,-0.9
265,"Ja'Tavion Sanders","TE","TE40",239.1,238.7,-0.4
266,"Elijah Arroyo","TE","TE39",238.6,238.9,0.3
267,"Deshaun Watson","QB","QB40",239.3,239,-0.3
268,"Hollywood Brown","WR","WR109",238.3,239,0.7
269,"Jaylen Wright","RB","RB79",239,239,0
270,"Deion Burks","WR","WR110",240,239.2,-0.8
271,"Michael Trigg","TE","TE41",238.7,239.2,0.5
272,"Justin Joly","TE","TE42",238.8,239.3,0.5
273,"Michael Mayer","TE","TE44",238.7,239.3,0.6
274,"Andrei Iosivas","WR","WR112",239.3,239.4,0.1
275,"Darnell Washington","TE","TE43",239.7,239.4,-0.3
276,"MarShawn Lloyd","RB","RB82",239.6,239.4,-0.2
277,"Zach Ertz","TE","TE45",239.6,239.4,-0.2
278,"Brenen Thompson","WR","WR110",239.9,239.5,-0.4
279,"Kareem Hunt","RB","RB81",239.3,239.5,0.2
280,"Luke McCaffrey","WR","WR114",239.7,239.5,-0.2
281,"Mack Hollins","WR","WR113",238.6,239.5,0.9
282,"Cole Kmet","TE","TE47",239.5,239.6,0.1
283,"Dawson Knox","TE","TE46",239.5,239.6,0.1
284,"Eric McAlister","WR","WR117",239.7,239.6,-0.1
285,"Isaiah Davis","RB","RB80",237.8,239.6,1.8
286,"KeAndre Lambert-Smith","WR","WR116",239.8,239.6,-0.2
287,"Roman Hemby","RB","RB83",238.6,239.6,1
288,"Taylen Green","QB","QB42",239.9,239.6,-0.3
289,"Darren Waller","TE","TE48",239.7,239.7,0
290,"DeMario Douglas","WR","WR125",239.9,239.7,-0.2
291,"Devontez Walker","WR","WR115",239.6,239.7,0.1
292,"Jalen Royals","WR","WR118",239.5,239.7,0.2
293,"Jaylin Lane","WR","WR126",239.9,239.7,-0.2
294,"Joe Flacco","QB","QB43",240,239.7,-0.3
295,"Jonnu Smith","TE","TE50",239.9,239.7,-0.2
296,"Justice Hill","RB","RB87",239.9,239.7,-0.2
297,"Justin Fields","QB","QB44",239.6,239.7,0.1
298,"Ty Johnson","RB","RB86",239.8,239.7,-0.1
299,"Audric Estime","RB","RB89",239.7,239.8,0.1
300,"Blake Whiteheart","TE","TE51",239.8,239.8,0
301,"Calvin Austin III","WR","WR121",239.7,239.8,0.1
302,"Cedric Tillman","WR","WR123",239.5,239.8,0.3
303,"Colbie Young","WR","WR131",240,239.8,-0.2
304,"DeAndre Hopkins","WR","WR124",239.9,239.8,-0.1
305,"Duke Johnson","RB","RB90",239.8,239.8,0
306,"Jalen Milroe","QB","QB45",239.9,239.8,-0.1
307,"Jam Miller","RB","RB92",240,239.8,-0.2
308,"Jarquez Hunter","RB","RB99",239.9,239.8,-0.1
309,"Jaydn Ott","RB","RB88",239.6,239.8,0.2
310,"Kaelon Black","RB","RB90",239.3,239.8,0.5
311,"Kendre Miller","RB","RB91",239.7,239.8,0.1
312,"Le'Veon Moss","RB","RB85",239.8,239.8,0
313,"Max Brosmer","QB","QB49",239.8,239.8,0
314,"Nick Mullens","QB","QB48",239.8,239.8,0
315,"Odell Beckham Jr.","WR","WR121",239.8,239.8,0
316,"Sione Vaki","RB","RB103",240,239.8,-0.2
317,"Tahj Brooks","RB","RB97",239.7,239.8,0.1
318,"Tanner McLachlan","TE",NA,239.8,239.8,0
319,"Travis Homer","RB","RB98",239.9,239.8,-0.1
320,"Trevor Etienne","RB","RB92",239.9,239.8,-0.1
321,"Tyler Higbee","TE","TE50",239.6,239.8,0.2
322,"Tyquan Thornton","WR","WR121",239.8,239.8,0
323,"Tyson Bagent","QB","QB41",240,239.8,-0.2
324,"Austin Ekeler","RB","RB97",239.9,239.9,0
325,"Brandin Cooks","WR","WR118",239.8,239.9,0.1
326,"Cade Stover","TE","TE53",240,239.9,-0.1
327,"Darius Cooper","WR","WR135",240,239.9,-0.1
328,"De'Zhaun Stribling","WR","WR134",240,239.9,-0.1
329,"Demarcus Robinson","WR","WR129",240,239.9,-0.1
330,"Dont'e Thornton","WR","WR118",239.2,239.9,0.7
331,"Erick All","TE","TE52",239.9,239.9,0
332,"Ezekiel Elliott","RB","RB109",239.9,239.9,0
333,"Hunter Luepke","RB","RB98",239.9,239.9,0
334,"Isaac Guerendo","RB","RB94",239.9,239.9,0
335,"J'Mari Taylor","RB","RB106",239.5,239.9,0.4
336,"Ja'Lynn Polk","WR","WR139",239.9,239.9,0
337,"Jahan Dotson","WR","WR129",239.9,239.9,0
338,"Jameis Winston","QB","QB51",239.9,239.9,0
339,"Jeff Wilson Jr.","RB","RB96",239.9,239.9,0
340,"Jimmy Garoppolo","QB","QB46",239.9,239.9,0
341,"Jimmy Horn","WR","WR135",239.9,239.9,0
342,"Joshua Palmer","WR","WR144",240,239.9,-0.1
343,"KaVontae Turpin","WR","WR133",239.7,239.9,0.2
344,"Kendrick Bourne","WR","WR128",239.9,239.9,0
345,"Kevin Coleman Jr.","WR","WR126",239.9,239.9,0
346,"Konata Mumpfield","WR","WR148",239.9,239.9,0
347,"Luke Schoonmaker","TE","TE58",240,239.9,-0.1
348,"Marcus Mariota","QB","QB46",239.5,239.9,0.4
349,"Marquez Valdes-Scantling","WR","WR124",239.9,239.9,0
350,"Mason Tipton","WR","WR128",240,239.9,-0.1
351,"Michael Strachan","WR","WR126",239.9,239.9,0
352,"Nick Chubb","RB","RB102",239.8,239.9,0.1
353,"Noah Gray","TE","TE56",239.7,239.9,0.2
354,"Oscar Delp","TE","TE53",240,239.9,-0.1
355,"Phil Mafah","RB","RB103",240,239.9,-0.1
356,"Rahsul Faison","RB","RB100",240,239.9,-0.1
357,"Roman Wilson","WR","WR139",240,239.9,-0.1
358,"Rondale Moore","WR","WR139",239.9,239.9,0
359,"Ronnie Rivers","RB","RB104",239.9,239.9,0
360,"Sam Roush","TE","TE49",240,239.9,-0.1
361,"Savion Williams","WR","WR131",239.9,239.9,0
362,"Treylon Burks","WR","WR139",240,239.9,-0.1
363,"Tucker Fisk","TE","TE60",239.9,239.9,0
364,"Tyler Conklin","TE","TE54",239.9,239.9,0
365,"Aaron Anderson","WR","WR140",240,240,0
366,"Andrew Armstrong","WR","WR153",240,240,0
367,"Antonio Gibson","RB","RB109",239.5,240,0.5
368,"Austin Hooper","TE","TE70",239.9,240,0.1
369,"Bam Knight","RB","RB109",240,240,0
370,"Beaux Collins","WR","WR146",240,240,0
371,"Caleb Douglas","WR","WR144",240,240,0
372,"Cam Akers","RB",NA,240,240,0
373,"Carson Beck","QB","QB54",240,240,0
374,"Carson Wentz","QB","QB57",240,240,0
375,"Charlie Kolar","TE",NA,240,240,0
376,"Chase Claypool","WR","WR148",240,240,0
377,"Chase Roberts","WR","WR148",240,240,0
378,"Chip Trayanum","RB","RB107",240,240,0
379,"Chris Hilton Jr.","WR","WR137",240,240,0
380,"Cole Payton","QB","QB48",239.8,240,0.2
381,"Dae'Quan Wright","TE","TE66",240,240,0
382,"Dallen Bentley","TE",NA,240,240,0
383,"Dameon Pierce","RB","RB102",239.9,240,0.1
384,"Damien Martinez","RB","RB107",240,240,0
385,"Dane Key","WR","WR153",240,240,0
386,"David Sills","WR","WR148",240,240,0
387,"Davis Mills","QB","QB55",239.9,240,0.1
388,"Dean Conners","RB",NA,240,240,0
389,"Desmond Reid","RB","RB110",240,240,0
390,"Devin Culp","TE","TE57",240,240,0
391,"Devin Singletary","RB","RB95",239.9,240,0.1
392,"Donovan Edwards","RB","RB103",240,240,0
393,"Drew Allar","QB","QB49",240,240,0
394,"Efton Chism","WR","WR135",240,240,0
395,"Elijah Higgins","TE","TE67",239.9,240,0.1
396,"Emari Demercado","RB","RB109",240,240,0
397,"Eric Rivers","WR","WR152",240,240,0
398,"Gardner Minshew II","QB",NA,239.7,240,0.3
399,"Garrett Nussmeier","QB","QB49",240,240,0
400,"Grant Calcaterra","TE","TE63",240,240,0
401,"Greg Dortch","WR","WR152",240,240,0
402,"Greg Dulcich","TE","TE58",240,240,0
403,"JP Richardson","WR","WR162",240,240,0
404,"Ja'Corey Brooks","WR","WR149",240,240,0
405,"Jack Endries","TE","TE58",240,240,0
406,"Jackson Hawes","TE","TE65",240,240,0
407,"Jacob Cowing","WR","WR146",240,240,0
408,"Jacob Saylors","RB",NA,240,240,0
409,"Jake Bobo","WR","WR164",240,240,0
410,"Jake Browning","QB","QB61",240,240,0
411,"Jalen Tolbert","WR","WR152",240,240,0
412,"Jarrett Stidham","QB","QB60",240,240,0
413,"Jawhar Jordan","RB","RB108",240,240,0
414,"Jeremy McNichols","RB","RB109",240,240,0
415,"Jerome Ford","RB","RB109",239.8,240,0.2
416,"Joe Milton","QB","QB51",240,240,0
417,"Joe Royer","TE","TE65",240,240,0
418,"John Metchie III","WR","WR139",240,240,0
419,"John Michael Gyllenborg","TE","TE57",240,240,0
420,"Jordan Watkins","WR","WR152",239.9,240,0.1
421,"Jordan Whittington","WR","WR134",240,240,0
422,"Josh Cameron","WR","WR152",240,240,0
423,"Josh Oliver","TE","TE53",240,240,0
424,"Josh Reynolds","WR","WR149",240,240,0
425,"Joshua Dobbs","QB","QB60",240,240,0
426,"JuJu Smith-Schuster","WR","WR134",240,240,0
427,"Kalel Mullings","RB","RB110",240,240,0
428,"Kalif Raymond","WR","WR156",240,240,0
429,"LaJohntay Wester","WR","WR139",240,240,0
430,"Lan Larison","RB","RB110",240,240,0
431,"Lewis Bond","WR","WR144",239.9,240,0.1
432,"Lil'Jordan Humphrey","WR","WR152",240,240,0
433,"Luke Musgrave","TE","TE63",239.9,240,0.1
434,"Malachi Corley","WR","WR161",240,240,0
435,"Malik Davis","RB","RB100",239.9,240,0.1
436,"Marlin Klein","TE","TE57",239.9,240,0.1
437,"Michael Carter","RB","RB110",239.7,240,0.3
438,"Mitch Tinsley","WR","WR148",239.9,240,0.1
439,"Mitchell Evans","TE","TE66",239.9,240,0.1
440,"Mitchell Trubisky","QB","QB61",240,240,0
441,"Nathan Carter","RB","RB108",240,240,0
442,"Noah Fant","TE","TE62",240,240,0
443,"Noah Whittington","RB","RB109",240,240,0
444,"Olamide Zaccheaus","WR","WR152",239.9,240,0.1
445,"Quinn Ewers","QB","QB46",239.7,240,0.3
446,"Raheem Mostert","RB","RB108",240,240,0
447,"Raheim Sanders","RB","RB115",240,240,0
448,"Reggie Virgil","WR","WR157",240,240,0
449,"Riley Leonard","QB","QB54",240,240,0
450,"Roschon Johnson","RB","RB112",240,240,0
451,"Samaje Perine","RB","RB118",239.6,240,0.4
452,"Sawyer Robertson","QB","QB55",240,240,0
453,"Spencer Rattler","QB","QB54",239.8,240,0.2
454,"Sterling Shepard","WR","WR157",239.9,240,0.1
455,"Tai Felton","WR","WR140",240,240,0
456,"Tanner Koziol","TE","TE58",239.9,240,0.1
457,"Tanner McKee","QB","QB54",240,240,0
458,"Taysom Hill","TE","TE63",239.9,240,0.1
459,"Terion Stewart","RB","RB113",240,240,0
460,"Tim Patrick","WR",NA,240,240,0
461,"Tommy Tremble","TE","TE58",240,240,0
462,"Trinidad Chambliss","QB","QB51",240,240,0
463,"Tutu Atwell","WR","WR164",240,240,0
464,"Ty Montgomery","WR","WR146",240,240,0
465,"Tyler Goodson","RB","RB109",240,240,0
466,"Tyler Huntley","QB","QB52",240,240,0
467,"Tyler Scott","WR","WR148",240,240,0
468,"Tyreik McAllister","WR","WR153",240,240,0
469,"Tyrell Shavers","WR","WR135",240,240,0
470,"Will Howard","QB","QB54",239.6,240,0.4
471,"Will Shipley","RB","RB105",240,240,0
472,"Xavier Hutchinson","WR","WR152",240,240,0
473,"Xavier Restrepo","WR","WR144",240,240,0
474,"Xavier Smith","WR",NA,240,240,0
475,"Zavier Scott","RB","RB109",240,240,0
476,"Zavion Thomas","WR","WR139",240,240,0
477,"Zay Jones","WR","WR151",240,240,0
